src_node_id,dest_node_id
0,233
0,282
0,355
0,389
0,439
0,460
0,494
0,529
0,576
0,705
0,746
0,882
0,909
0,969
0,1040
0,1063
0,1106
0,1169
0,1487
0,1496
0,1812
0,1836
0,1883
0,2028
0,2086
0,2100
0,2299
0,2457
0,2504
0,2516
0,2686
0,2732
0,2785
0,2866
0,2900
0,3037
0,3184
0,3343
0,3447
0,3891
0,4056
0,4119
0,4359
0,4381
0,4438
0,4624
0,4674
0,4769
0,4793
0,4861
1,21
1,22
1,28
1,110
1,226
1,291
1,293
1,333
1,468
1,820
1,886
1,1008
1,1293
1,1470
1,1498
1,1502
1,1608
1,1725
1,2008
1,2053
1,2193
1,2203
1,2262
1,2412
1,2439
1,2535
1,2576
1,2659
1,2680
1,2777
1,3055
1,3058
1,3074
1,3077
1,3110
1,3134
1,3160
1,3368
1,3513
1,3852
1,3981
1,4148
1,4186
1,4265
1,4285
1,4314
1,4351
1,4446
1,4448
1,4721
2,261
2,306
2,346
2,373
2,520
2,641
2,782
2,809
2,938
2,1073
2,1076
2,1175
2,1497
2,1654
2,1724
2,1783
2,1841
2,1867
2,2227
2,2244
2,2250
2,2311
2,2351
2,2370
2,2371
2,2495
2,2512
2,2539
2,2767
2,2784
2,2816
2,3257
2,3271
2,3471
2,3504
2,3572
2,3602
2,3653
2,3657
2,3876
2,3941
2,3960
2,3993
2,4288
2,4346
2,4456
2,4660
2,4794
2,4821
2,4838
3,57
3,131
3,210
3,307
3,329
3,382
3,407
3,459
3,494
3,595
3,649
3,665
3,687
3,689
3,718
3,833
3,982
3,984
3,1464
3,1577
3,1635
3,1721
3,1881
3,2063
3,2098
3,2241
3,2313
3,2348
3,2361
3,2433
3,2493
3,2653
3,2756
3,2798
3,2908
3,2949
3,2957
3,3047
3,3158
3,3178
3,3221
3,3636
3,3670
3,3686
3,3700
3,4022
3,4304
3,4416
3,4807
3,4839
4,6
4,8
4,79
4,99
4,124
4,152
4,214
4,276
4,339
4,345
4,687
4,706
4,719
4,741
4,916
4,1257
4,1379
4,1424
4,1556
4,1754
4,1922
4,1931
4,2012
4,2172
4,2191
4,2223
4,2361
4,2410
4,2685
4,2794
4,2902
4,2922
4,2929
4,3199
4,3237
4,3267
4,3377
4,3407
4,3621
4,3766
4,4004
