src_node_id,dest_node_id
0,47
0,50
0,133
0,216
0,373
0,518
0,530
0,541
0,575
0,673
0,678
0,790
0,872
0,1151
0,1169
0,1198
0,1362
0,1392
0,1725
0,1752
0,1775
0,2018
0,2145
0,2176
0,2209
0,2457
0,2473
0,2554
0,2662
0,2810
0,2882
0,2931
0,2978
0,2994
0,3260
0,3411
0,3485
0,3500
0,3910
0,3915
0,3919
0,4230
0,4362
0,4405
0,4534
0,4826
0,4986
1,4
1,27
1,94
1,107
1,110
1,111
1,168
1,175
1,193
1,309
1,367
1,413
1,433
1,539
1,786
1,798
1,957
1,1088
1,1137
1,1147
1,1225
1,1515
1,1698
1,1897
1,1991
1,2444
1,2733
1,2791
1,2921
1,3018
1,3042
1,3048
1,3217
1,3289
1,3307
1,3738
1,3911
1,3918
1,4020
1,4227
1,4274
1,4539
1,4550
1,4553
1,4812
1,4869
2,44
2,110
2,111
2,226
2,234
2,251
2,341
2,445
2,494
2,527
2,741
2,998
2,1077
2,1081
2,1082
2,1087
2,1199
2,1244
2,1318
2,1381
2,1420
2,1507
2,1554
2,1652
2,1844
2,1850
2,2605
2,2625
2,3008
2,3082
2,3287
2,3420
2,3745
2,3823
2,3926
2,3973
2,4327
2,4368
2,4401
2,4462
2,4667
2,4746
2,4786
2,4975
3,28
3,52
3,90
3,121
3,129
3,173
3,417
3,442
3,469
3,477
3,567
3,631
3,758
3,782
3,889
3,1007
3,1025
3,1032
3,1170
3,1182
3,1206
3,1259
3,1478
3,1772
3,1967
3,1988
3,2008
3,2052
3,2159
3,2239
3,2405
3,2595
3,2800
3,2867
3,2899
3,3247
3,3265
3,3470
3,3661
3,4045
3,4066
3,4440
3,4888
3,4966
4,180
4,252
4,259
4,277
4,374
4,392
4,414
4,440
4,543
4,609
4,676
4,799
4,847
4,867
4,872
4,973
4,1013
4,1020
4,1050
4,1153
4,1246
4,1374
4,1393
4,1476
4,1623
4,1890
4,2043
4,2055
4,2271
4,2329
4,2369
4,2637
4,2983
4,2991
4,3160
4,3335
4,4255
4,4285
4,4475
4,4661
4,4700
4,4796
4,4822
5,10
5,13
5,25
5,46
5,77
5,88
5,213
5,340
5,524
5,593
5,649
5,651
5,668
5,699
5,712
5,752
5,783
5,946
5,949
5,1093
5,1161
5,1187
5,1303
5,1519
5,1533
5,1661
5,1780
5,2329
5,2462
5,2566
5,2687
5,2719
5,2960
5,3124
5,3302
5,3393
5,3571
5,3729
5,3993
5,4146
5,4300
5,4550
5,4580
5,4886
6,40
6,51
6,89
6,288
6,313
6,378
6,380
6,470
6,521
6,540
6,563
6,641
6,764
6,948
6,972
6,1010
6,1024
6,1039
6,1100
6,1272
6,1361
6,1560
6,1684
6,2057
6,2233
6,2613
6,2671
6,2788
6,2923
6,3223
6,3234
6,3346
6,3377
6,3440
6,3608
6,4077
6,4271
6,4293
6,4437
6,4486
6,4487
6,4515
6,4619
6,4977
7,73
7,96
7,120
7,146
7,737
7,834
7,835
7,963
7,969
7,1525
7,1556
7,1577
7,1741
7,1749
7,1819
7,1893
7,1900
7,2045
7,2076
7,2338
7,2526
7,2539
7,2566
7,2573
7,2674
7,2727
7,2753
7,2836
7,3048
7,3240
7,3259
7,3387
7,3622
7,3632
7,3757
7,3819
7,3916
7,3949
7,4324
7,4520
7,4533
7,4650
7,4948
8,123
8,212
8,220
8,376
8,436
8,471
8,599
8,658
8,764
8,774
8,839
8,955
8,1008
8,1114
8,1121
8,1136
8,1206
8,1294
8,1353
8,1473
8,1485
8,1581
8,1630
8,1678
8,1711
8,2014
8,2063
8,2094
8,2157
8,2455
8,2484
8,2592
8,2755
8,3311
8,3348
8,3384
8,3424
8,3962
8,4039
8,4268
8,4712
8,4835
9,153
9,157
9,183
9,217
9,270
9,372
9,405
9,422
9,554
9,573
9,720
