node_id,random_community_feature,community_id,is_outlier
63,44.88420493786379,0,1
98,35.36227456301782,0,1
103,35.76826289745185,0,1
111,35.45467965966638,0,1
170,43.485161762763866,0,1
184,41.75851267389485,0,1
198,35.92578143353565,0,1
205,49.39197330043745,0,1
209,40.315927258860995,0,1
214,50.23502242075176,0,1
277,45.16777989742839,0,1
284,43.18889548771112,0,1
305,38.33286568133028,0,1
327,42.388420751296124,0,1
333,52.2580863973757,0,1
338,37.529936459196115,0,1
342,33.11737345783797,0,1
350,35.570190709059915,0,1
385,53.052199815641664,0,1
393,53.72690970943873,0,1
412,32.226908426112715,0,1
433,54.995472246956425,0,1
448,41.26213211874535,0,1
450,48.65531785513471,0,1
461,42.830138785154155,0,1
478,46.11738405340782,0,1
484,40.27442426123599,0,1
494,35.748451121851275,0,1
510,38.09416814085788,0,1
522,35.34900774186453,0,1
525,37.57334363186104,0,1
546,45.51759025772891,0,1
576,54.72960026746458,0,1
609,36.527008666663946,0,1
615,43.57536409209398,0,1
629,37.258389000348586,0,1
637,46.41649362589855,0,1
643,34.309119794532386,0,1
664,46.984630694072,0,1
670,37.5911188729775,0,1
674,45.13268130787626,0,1
675,37.447457716936654,0,1
704,32.15471903739638,0,1
724,37.534013530549466,0,1
730,32.682038246766055,0,1
744,48.79742832841192,0,1
768,38.761853378686396,0,1
860,43.9343926498057,0,1
862,29.767825091928138,0,1
999,40.49136597947123,0,1
6,26.550838808702608,1,0
17,24.321436322586887,1,0
24,25.48113636636585,1,0
26,23.07653941342972,1,0
37,37.62218194026841,1,0
46,21.327320489948686,1,0
59,26.828727210857515,1,0
100,22.83061551874205,1,0
113,36.885295636279686,1,0
115,14.897622056438978,1,0
118,24.318592912495657,1,0
125,26.464901877462705,1,0
146,30.401354271003527,1,0
162,31.66407537668222,1,0
178,25.62737089951655,1,0
188,36.37581983536084,1,0
192,30.36029458852773,1,0
201,49.56606233113611,1,0
202,14.096833948980056,1,0
206,33.08872212835515,1,0
217,18.22889332792061,1,0
220,20.433457761305526,1,0
247,45.26113819766082,1,0
252,43.11771111765318,1,0
276,10.99357624429566,1,0
290,25.5650691017366,1,0
303,26.96498793946663,1,0
307,8.535632487858326,1,0
313,27.116797788159438,1,0
331,31.061364770829623,1,0
364,29.490608851206964,1,0
379,9.76063478966984,1,0
382,37.43415699252468,1,0
389,29.73396040731671,1,0
