src_node_id,dest_node_id
0,69
0,126
0,155
0,271
0,317
0,368
0,384
0,419
0,564
0,585
0,654
0,751
0,896
0,941
0,957
0,1031
0,1066
0,1121
0,1285
0,1380
0,1388
0,1405
0,1427
0,1475
0,1535
0,1551
0,1644
0,1668
0,1669
0,1877
0,1896
0,2006
0,2493
0,2530
0,2582
0,3122
0,3157
0,3171
0,3309
0,3417
0,3842
0,4000
0,4110
0,4112
0,4335
0,4479
0,4485
0,4718
0,4890
0,4956
1,112
1,123
1,220
1,376
1,425
1,599
1,611
1,618
1,670
1,840
1,1136
1,1176
1,1197
1,1246
1,1294
1,1353
1,1485
1,1566
1,1581
1,1711
1,2014
1,2035
1,2063
1,2079
1,2094
1,2139
1,2146
1,2157
1,2298
1,2592
1,2610
1,2718
1,2938
1,2990
1,3348
1,3424
1,3430
1,3616
1,3700
1,3886
1,3962
1,4022
1,4039
1,4062
1,4268
1,4305
1,4712
1,4727
1,4765
1,4785
2,156
2,178
2,205
2,335
2,336
2,358
2,432
2,479
2,548
2,587
2,664
2,697
2,739
2,841
2,855
2,1001
2,1005
2,1129
2,1221
2,1333
2,1550
2,1604
2,1609
2,1729
2,1806
2,1985
2,1996
2,2292
2,2319
2,2546
2,2560
2,2646
2,2647
2,2684
2,2714
2,2833
2,2920
2,3058
2,3060
2,3181
2,3506
2,3980
2,4013
2,4199
2,4360
2,4546
2,4570
2,4862
2,4894
2,4935
3,78
3,96
3,146
3,322
3,377
3,384
3,446
3,578
3,906
3,1063
3,1177
3,1373
3,1376
3,1749
3,1819
3,1893
3,2076
3,2184
3,2207
3,2360
3,2391
3,2460
3,2526
3,2573
3,2633
3,2674
3,2695
3,2798
3,2819
3,2836
3,3111
3,3228
3,3240
3,3345
3,3402
3,3545
3,3638
3,3819
3,3894
3,3945
3,4299
3,4347
3,4393
3,4533
3,4650
3,4714
3,4875
3,4897
3,4899
4,9
4,52
4,281
4,344
4,398
4,423
4,582
4,613
4,687
4,695
4,1169
4,1261
4,1456
4,1465
4,1585
4,1663
4,1677
4,1697
4,1732
4,1910
4,1923
4,1924
4,2111
4,2199
4,2267
4,2310
4,2369
4,2879
4,2946
4,3029
4,3113
4,3266
4,3575
4,3597
4,3645
4,3649
4,3661
4,3774
4,3901
4,4261
4,4266
4,4267
4,4308
4,4327
4,4503
4,4652
4,4741
4,4853
5,10
5,25
5,57
5,64
5,138
5,226
5,386
5,448
5,700
5,857
5,881
5,1127
5,1146
5,1180
5,1334
5,1345
5,1542
5,1756
5,1953
5,1961
5,2062
5,2085
5,2232
5,2245
5,2303
5,2322
5,2368
5,2567
5,3326
5,3349
5,3412
5,3513
5,3571
5,3694
5,3964
5,4024
5,4142
5,4214
5,4269
5,4421
5,4439
5,4508
5,4552
5,4642
5,4695
5,4699
5,4849
5,4952
6,58
6,91
6,122
6,219
6,388
6,497
6,529
6,579
6,768
6,1061
6,1240
6,1264
6,1384
6,1426
6,1466
6,1679
6,1680
6,1714
6,1748
6,1765
6,1879
6,1900
6,2072
6,2386
6,2433
6,2643
6,2692
6,2721
6,2767
6,2874
6,3066
6,3169
6,3225
6,3232
6,3518
6,3620
6,3623
6,3707
6,3867
6,4056
6,4087
6,4237
6,4364
6,4538
6,4755
6,4967
7,21
7,171
7,181
7,253
7,307
7,342
7,345
7,379
7,431
7,508
7,641
7,755
7,805
7,858
7,996
7,1235
7,1252
7,1827
7,1895
7,2402
7,2531
7,2549
7,2645
7,2683
7,2785
7,2868
7,2876
7,2886
7,2999
7,3149
7,3169
7,3185
7,3341
7,3446
7,3526
7,3641
7,3927
7,3975
7,4108
7,4198
7,4362
7,4365
7,4490
7,4496
7,4800
7,4876
8,14
8,41
8,92
8,107
8,113
8,283
8,352
8,389
8,577
8,748
8,918
8,1068
8,1076
8,1146
8,1188
8,1253
8,1311
8,1343
8,1688
8,1764
8,1821
8,1865
8,1937
8,1960
8,2032
8,2411
8,2576
8,2629
8,2769
8,2780
8,2830
8,3079
8,3249
8,3354
8,3383
8,3482
8,3487
8,3669
8,3922
8,4147
8,4188
8,4385
8,4509
8,4522
8,4801
8,4983
9,52
9,60
9,93
9,281
9,344
9,398
9,423
9,582
9,613
9,632
9,687
9,695
9,1456
9,1465
9,1585
9,1663
9,1677
9,1732
9,1923
9,1924
9,2011
9,2084
9,2111
9,2199
9,2267
9,2310
9,2408
9,2946
9,3147
9,3266
9,3334
9,3575
9,3645
9,3649
9,3901
9,4201
9,4308
9,4353
9,4503
9,4604
9,4652
9,4674
9,4853
9,4885
9,4940
10,25
10,46
10,57
10,64
10,226
10,282
10,386
10,444
10,448
10,700
10,857
10,1002
10,1127
10,1140
10,1146
10,1291
10,1345
10,1428
10,1460
10,1500
10,1721
10,1756
10,1885
10,1961
10,2085
10,2368
10,2423
10,2438
10,2503
10,2517
10,2567
10,2618
10,3175
10,3279
10,3650
10,3964
10,4024
10,4167
10,4211
10,4397
10,4410
10,4537
10,4569
10,4699
10,4764
11,132
11,199
11,207
11,294
11,362
11,430
11,489
11,639
11,780
11,791
11,870
11,960
11,968
11,1049
11,1196
11,1256
11,1270
11,1430
11,1459
11,1618
11,1760
11,1912
11,1951
11,2279
11,2696
11,2831
11,2980
11,3165
11,3276
11,3284
11,3332
11,3614
11,3691
11,3695
11,3696
11,4103
11,4128
11,4191
11,4283
11,4298
11,4322
11,4639
11,4806
11,4929
11,4944
12,29
12,127
12,177
12,197
12,206
12,261
12,305
12,394
12,664
