node_id,random_community_feature,community_id,is_outlier
36,44.88420493786379,0,1
63,35.36227456301782,0,1
98,35.76826289745185,0,1
103,35.45467965966638,0,1
111,43.485161762763866,0,1
128,41.75851267389485,0,1
132,35.92578143353565,0,1
160,49.39197330043745,0,1
170,40.315927258860995,0,1
184,50.23502242075176,0,1
198,45.16777989742839,0,1
205,43.18889548771112,0,1
209,38.33286568133028,0,1
214,42.388420751296124,0,1
249,52.2580863973757,0,1
264,37.529936459196115,0,1
277,33.11737345783797,0,1
284,35.570190709059915,0,1
305,53.052199815641664,0,1
315,53.72690970943873,0,1
324,32.226908426112715,0,1
327,54.995472246956425,0,1
333,41.26213211874535,0,1
338,48.65531785513471,0,1
342,42.830138785154155,0,1
350,46.11738405340782,0,1
354,40.27442426123599,0,1
380,35.748451121851275,0,1
385,38.09416814085788,0,1
393,35.34900774186453,0,1
396,37.57334363186104,0,1
404,45.51759025772891,0,1
412,54.72960026746458,0,1
433,36.527008666663946,0,1
448,43.57536409209398,0,1
450,37.258389000348586,0,1
461,46.41649362589855,0,1
478,34.309119794532386,0,1
484,46.984630694072,0,1
494,37.5911188729775,0,1
510,45.13268130787626,0,1
522,37.447457716936654,0,1
525,32.15471903739638,0,1
546,37.534013530549466,0,1
571,32.682038246766055,0,1
576,48.79742832841192,0,1
609,38.761853378686396,0,1
615,43.9343926498057,0,1
629,29.767825091928138,0,1
637,40.49136597947123,0,1
639,46.2861707213213,0,1
643,36.54716715924069,0,1
664,40.61334528379893,0,1
670,35.442470241440226,0,1
674,38.41706694192731,0,1
675,32.574648161858796,0,1
704,31.47448622504083,0,1
706,27.534461843475178,0,1
718,35.2185294018455,0,1
724,30.21716442647717,0,1
730,48.59122008183829,0,1
744,43.188356036447814,0,1
768,42.203896050725525,0,1
844,52.42953917804525,0,1
857,30.19508513286236,0,1
860,57.36258017533315,0,1
862,42.344663297127866,0,1
957,33.82334453706231,0,1
966,32.6344808302933,0,1
999,42.34903660010827,0,1
4,-62.23264081386573,1,0
6,-48.61692054179899,1,0
17,-47.308825106100684,1,0
24,-64.52936325401255,1,0
26,-47.16697276093823,1,0
37,-43.481137606234675,1,0
40,-44.948864587026065,1,0
67,-63.38471123810148,1,0
69,-37.52634923338149,1,0
80,-44.721474933256275,1,0
86,-47.2760170900722,1,0
88,-53.04420053299867,1,0
89,-40.82521772126537,1,0
91,-39.10546700151222,1,0
93,-50.77854383390385,1,0
96,-46.01315320525249,1,0
105,-39.866275759920036,1,0
115,-63.052267580605076,1,0
116,-45.78068526865961,1,0
122,-62.66002670060828,1,0
126,-54.453079019191755,1,0
127,-42.84420076495815,1,0
133,-47.96333953969833,1,0
145,-50.09538881730861,1,0
161,-49.22718244084595,1,0
162,-39.689474512057615,1,0
167,-40.86796815518805,1,0
171,-53.32241440117072,1,0
175,-44.31805150212229,1,0
177,-50.68446744305203,1,0
183,-26.718064619905494,1,0
185,-52.9230301471475,1,0
188,-49.367597435330346,1,0
192,-49.66812774803456,1,0
197,-50.419548689118564,1,0
201,-45.583723825185686,1,0
204,-44.48386137675335,1,0
213,-60.2519426391065,1,0
215,-51.537266102068486,1,0
218,-57.76686069591958,1,0
231,-36.45522897323624,1,0
236,-26.209587937508932,1,0
260,-35.22964874225752,1,0
261,-43.87381919637179,1,0
262,-38.2364899285905,1,0
274,-45.369444084691665,1,0
279,-32.94994985525788,1,0
283,-41.19256950261449,1,0
289,-48.67671245054047,1,0
292,-56.175595497620456,1,0
298,-52.094505004642684,1,0
300,-44.14391927655876,1,0
303,-56.97820187747901,1,0
317,-48.6087468114321,1,0
321,-35.5906362738607,1,0
341,-46.51561501965548,1,0
344,-30.21024461216804,1,0
352,-34.696715830148,1,0
355,-49.157541882554554,1,0
368,-58.09081336570526,1,0
371,-47.16039429895521,1,0
376,-50.76765901595461,1,0
377,-43.611076446671596,1,0
390,-33.30262439485779,1,0
398,-56.12185355860754,1,0
402,-50.00027447675324,1,0
409,-43.989545863971045,1,0
410,-37.29907539017762,1,0
417,-42.50274342582066,1,0
419,-43.30644999111781,1,0
421,-35.552099133583354,1,0
425,-42.64611085926559,1,0
426,-48.735542380464864,1,0
427,-46.28241861497506,1,0
431,-52.65390787060567,1,0
436,-42.203069484760576,1,0
440,-38.90348117824294,1,0
441,-71.59712199026909,1,0
458,-36.60574333027863,1,0
460,-47.23107648121407,1,0
470,-42.91808040801838,1,0
472,-41.238546168276606,1,0
474,-65.89135242181875,1,0
479,-56.72890721233625,1,0
483,-49.536583233115024,1,0
485,-53.35677308852149,1,0
487,-44.474496484004504,1,0
488,-51.0520964991118,1,0
489,-61.023003713534536,1,0
490,-41.655973259552525,1,0
491,-37.58952475922515,1,0
493,-42.05562924563107,1,0
497,-52.70165498935119,1,0
504,-48.934394264727594,1,0
505,-42.18837164196234,1,0
506,-41.73181414389342,1,0
528,-38.36698590998693,1,0
530,-49.21419662216503,1,0
539,-58.60404531222771,1,0
542,-52.419467494260424,1,0
551,-42.30960066773135,1,0
561,-40.55834529977811,1,0
562,-28.21246514239762,1,0
574,-45.78313798811995,1,0
579,-44.72088689895474,1,0
582,-48.23785311724576,1,0
583,-50.14199548727768,1,0
588,-40.24324720749295,1,0
590,-43.81343083284973,1,0
598,-48.487764576581036,1,0
603,-55.760026352345456,1,0
607,-47.785813513305975,1,0
625,-50.019065255986554,1,0
630,-36.297112993831156,1,0
634,-38.86492273322098,1,0
640,-55.28166495559309,1,0
642,-37.030704132804274,1,0
647,-51.52779211423515,1,0
655,-45.650132043674446,1,0
656,-36.73415543773249,1,0
660,-55.302023159472576,1,0
676,-45.422885476959145,1,0
678,-56.18329850792482,1,0
680,-62.942131927558194,1,0
685,-38.53589599349361,1,0
687,-46.524637170996904,1,0
694,-53.61498832503487,1,0
695,-59.98504021138679,1,0
696,-50.10651261036898,1,0
698,-35.5718560323063,1,0
699,-43.405049865691396,1,0
709,-49.86718139248183,1,0
710,-52.36175624429297,1,0
714,-45.87790999812522,1,0
721,-59.6578920906772,1,0
726,-35.54995611717533,1,0
739,-42.565471896726685,1,0
741,-36.80411969187583,1,0
745,-51.45717874998111,1,0
754,-39.63429058679471,1,0
757,-41.02572839431032,1,0
770,-59.539218676971345,1,0
772,-45.51823369241248,1,0
775,-44.133244119856975,1,0
779,-51.55230632542615,1,0
786,-49.76223188746411,1,0
794,-43.12399986073587,1,0
798,-47.07600775749338,1,0
808,-55.13500285168429,1,0
812,-41.82972561760612,1,0
825,-44.86090387799644,1,0
826,-44.6828413663836,1,0
830,-45.96167471595832,1,0
831,-43.01699849169545,1,0
833,-49.1439762250808,1,0
836,-53.95167531379414,1,0
837,-52.94360362601404,1,0
841,-37.544130220707444,1,0
845,-63.57914174545713,1,0
853,-42.25411868505333,1,0
854,-58.782583573875165,1,0
863,-60.1709158923356,1,0
864,-55.15044241419387,1,0
866,-48.906670762990096,1,0
868,-40.67060254971912,1,0
876,-60.917392149644684,1,0
877,-32.80525014341904,1,0
880,-37.05941804295173,1,0
889,-47.865034561877735,1,0
891,-49.17935150969546,1,0
893,-54.708346115126645,1,0
896,-41.85817132138607,1,0
899,-46.186421389143504,1,0
907,-34.9893116325438,1,0
914,-52.48005876511467,1,0
915,-42.19240730980112,1,0
938,-47.06320950445485,1,0
952,-53.820453473675556,1,0
953,-30.90279333774036,1,0
955,-44.429211566705845,1,0
977,-41.58964408217935,1,0
985,-55.667252105263714,1,0
987,-52.783522911332,1,0
991,-46.05856687476974,1,0
994,-51.63180852593674,1,0
0,17.57135589548468,2,0
16,18.281933879507484,2,0
20,18.17187330762517,2,0
29,15.440936707235185,2,0
30,21.433609826564652,2,0
32,16.38200999378201,2,0
